QUESTIONS POSEES;;;;;;;;;;;Déjà tout;SC 1;;;;;;;;;Scénarios ;SC 2;;;;;;;;;;Nb postes;Scénarios ;Sc 3;;;;;;;;;;;
Periode;Isolation du toit;Changement des fenêtres;Isolation des murs;Isolation du sol;Changement du système de chauffage principal;Installation ou remplacement d'un poêle;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;Installation d'un système de ventilation;Rampants ou combles perdus ?;fait ?;Trav 1;Trav 2;Trav 3;Prix;Niveau aides;Baisse factures;Confort hiver;Confort été;Nom scénario;identiques ?;Trav 1;Trav 2;Trav 3;Trav 4;Prix;Niveau aides;Baisse factures;Confort hiver;Confort été;Nom scénario;identiques;identiques ?;Trav 1;Trav 2;Trav 3;Trav 4;Trav 5;Trav 6;Prix;Niveau aides;Baisse factures;Confort hiver;Confort été;Nom scénario
80 - 2000;0;0;1;1;0;1;0;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;60000;Important;8;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;1;1;1;0;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;;30000;Modéré;3;5;4;Intermédiaire;3;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;;45000;Modéré;5;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;1;1;0;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;;30000;Modéré;3;5;4;Intermédiaire;3;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Isolation du sol;Installation d'un chauffe-eau, solaire ou thermodynamique;;40000;Important;5;7;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;0;1;0;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Installation d'un chauffe-eau, solaire ou thermodynamique;55000;Important;8;7;4;Rénovation ambitieuse
80 - 2000;0;0;0;0;0;1;0;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Isolation des murs;75000;Important;9;10;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;0;0;1;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation des murs;;75000;Important;8;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;1;0;1;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;35000;Important;5;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation des murs;;65000;Modéré;7;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;1;0;1;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;35000;Important;5;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation du sol;Isolation des murs;70000;Modéré;8;10;6;Rénovation ambitieuse
80 - 2000;0;0;1;1;0;0;1;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Installation de panneaux solaires photovoltaïques;;50000;Important;7;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;1;1;0;1;0;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;35000;Important;5;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;Installation de panneaux solaires photovoltaïques;;45000;Modéré;6;5;4;Rénovation ambitieuse
